average,variance,x_name,bar_name
2.126623377,1.0295169,"S101, S201",yaw
3.038961039,1.457760481,"S102, S202",roll
2.902597403,1.163120267,"S103, S203",pitch
,,,
1.107142857,0.109004188,"S104, S204",forward
1.275974026,0.389388299,"S105, S205",backward
1.149350649,0.147002834,"S106, S206",lateral
,,,
1.107142857,0.109004188,"S104, S204",forward
1.305194805,0.388637421,"S107, S207",upward
1.25974026,0.284106773,"S108, S208",downward
,,,
1.107142857,0.109004188,"S104, S204",forward
2.38961039,1.157155548,"S109, S209",forward+pitch
1.545454545,0.489783832,"S110, S210",forward+roll+yaw
1.948051948,0.876771437,"S111, S211",forward+roll+yaw+pitch
,,,
1.545454545,0.489783832,"S110, S210",large FOV
1.594155844,0.684916875,"S114, S214",middle FOV
1.454545455,0.476754516,"S115, S215",small FOV
,,,
1.551948052,0.471139971,S210,large FOV (urban)
1.558441558,0.588065529,S215,small FOV (urban)
1.538961039,0.511544012,S110,large FOV (astrospace)
1.350649351,0.346829641,S115,small FOV (astrospace)
,,,
1.545454545,0.489783832,"S110, S210",constant speed
1.850649351,0.733322053,"S116, S216",acceleration
,,,
1.551948052,0.471139971,S210,constant speed (urban)
2.077922078,0.830489772,S216,accleration (urban)
1.538961039,0.511544012,S110,constant speed (astrospace)
1.623376623,0.536966302,S216,accleration (astrospace)
,,,
1.545454545,0.489783832,"S110, S210",normal speed
1.970779221,0.907938153,"S112, S212",fast speed
,,,
2.402597403,1.179406912,"S117, S217",no frame reference
2.038961039,0.851897288,"S118, S218",frame reference
,,,
1.551948052,0.471139971,S210,short duration
2.733766234,1.438460233,S224,long duration
,,,
1.532467532,0.591958813,S001-S008,controllable
1.974837662,1.048107204,"S210, S219-S225",uncontrollable
,,,
end,,,
